"","interation","score.i","length.i","seq.length1","seq.length2"
"352",352,28,21,191,191
"353",353,25,23,191,191
"354",354,31,11,191,191
"355",355,27,63,191,191
"356",356,25,32,191,191
"357",357,28,6,191,191
"358",358,28,23,191,191
"359",359,28,38,191,191
"360",360,22,10,191,191
"361",361,28,7,191,191
"362",362,35,40,191,191
"363",363,22,13,191,191
"364",364,28,49,191,191
"365",365,29,44,191,191
"366",366,23,14,191,191
"367",367,26,9,191,191
"368",368,41,56,191,191
"369",369,25,22,191,191
"370",370,28,7,191,191
"371",371,27,13,191,191
"372",372,24,10,191,191
"373",373,25,24,191,191
"374",374,31,5,191,191
"375",375,29,11,191,191
"376",376,25,7,191,191
"377",377,22,11,191,191
"378",378,27,11,191,191
"379",379,27,9,191,191
"380",380,33,32,191,191
"381",381,34,30,191,191
"382",382,31,25,191,191
"383",383,35,32,191,191
"384",384,24,14,191,191
"385",385,29,10,191,191
"386",386,24,8,191,191
"387",387,26,9,191,191
"388",388,23,10,191,191
"389",389,32,17,191,191
"390",390,25,14,191,191
"391",391,25,27,191,191
"392",392,29,33,191,191
"393",393,20,7,191,191
"394",394,27,17,191,191
"395",395,25,25,191,191
"396",396,30,22,191,191
"397",397,30,24,191,191
"398",398,22,10,191,191
"399",399,25,8,191,191
"400",400,36,31,191,191
"401",401,28,46,191,191
"402",402,25,14,191,191
"403",403,32,14,191,191
"404",404,28,16,191,191
"405",405,25,42,191,191
"406",406,29,23,191,191
"407",407,27,21,191,191
"408",408,25,38,191,191
"409",409,28,15,191,191
"410",410,33,28,191,191
"411",411,23,17,191,191
"412",412,26,31,191,191
"413",413,26,11,191,191
"414",414,25,23,191,191
"415",415,29,9,191,191
"416",416,33,23,191,191
"417",417,23,13,191,191
"418",418,27,12,191,191
"419",419,25,9,191,191
"420",420,24,26,191,191
"421",421,42,18,191,191
"422",422,26,17,191,191
"423",423,26,35,191,191
"424",424,25,15,191,191
"425",425,36,25,191,191
"426",426,26,20,191,191
"427",427,32,9,191,191
"428",428,26,8,191,191
"429",429,32,24,191,191
"430",430,22,10,191,191
"431",431,32,17,191,191
"432",432,29,12,191,191
"433",433,29,12,191,191
"434",434,29,19,191,191
"435",435,38,25,191,191
"436",436,22,7,191,191
"437",437,30,19,191,191
"438",438,23,38,191,191
"439",439,33,22,191,191
"440",440,28,5,191,191
"441",441,28,20,191,191
"442",442,23,10,191,191
"443",443,24,14,191,191
"444",444,28,18,191,191
"445",445,30,20,191,191
"446",446,23,6,191,191
"447",447,27,16,191,191
"448",448,39,28,191,191
"449",449,31,14,191,191
"450",450,28,15,191,191
"451",451,22,12,191,191
"452",452,33,13,191,191
"453",453,27,20,191,191
"454",454,25,9,191,191
"455",455,26,15,191,191
"456",456,23,43,191,191
"457",457,30,15,191,191
"458",458,25,9,191,191
"459",459,33,43,191,191
"460",460,29,17,191,191
"461",461,32,12,191,191
"462",462,35,20,191,191
"463",463,27,58,191,191
"464",464,29,11,191,191
"465",465,37,38,191,191
"466",466,51,39,191,191
"467",467,25,13,191,191
"468",468,35,23,191,191
"469",469,23,12,191,191
"470",470,23,21,191,191
"471",471,42,76,191,191
"472",472,33,14,191,191
"473",473,23,16,191,191
"474",474,26,19,191,191
"475",475,25,15,191,191
"476",476,25,15,191,191
"477",477,33,19,191,191
"478",478,26,20,191,191
"479",479,31,24,191,191
"480",480,27,21,191,191
"481",481,30,18,191,191
"482",482,25,6,191,191
"483",483,25,6,191,191
"484",484,25,24,191,191
"485",485,24,15,191,191
"486",486,28,20,191,191
"487",487,27,23,191,191
"488",488,27,15,191,191
"489",489,28,35,191,191
"490",490,29,22,191,191
"491",491,29,23,191,191
"492",492,22,58,191,191
"493",493,32,13,191,191
"494",494,31,14,191,191
"495",495,26,28,191,191
"496",496,31,19,191,191
"497",497,24,7,191,191
"498",498,32,44,191,191
"499",499,31,10,191,191
"500",500,23,15,191,191
"501",501,32,29,191,191
"502",502,31,25,191,191
"503",503,23,10,191,191
"504",504,27,35,191,191
"505",505,36,25,191,191
"506",506,27,19,191,191
"507",507,32,18,191,191
"508",508,25,8,191,191
"509",509,30,37,191,191
"510",510,27,19,191,191
"511",511,29,18,191,191
"512",512,24,4,191,191
"513",513,29,8,191,191
"514",514,25,17,191,191
"515",515,26,16,191,191
"516",516,26,11,191,191
"517",517,24,7,191,191
"518",518,27,12,191,191
"519",519,36,35,191,191
"520",520,26,23,191,191
"521",521,26,31,191,191
"522",522,32,33,191,191
"523",523,29,20,191,191
"524",524,26,6,191,191
"525",525,27,12,191,191
"526",526,25,11,191,191
"527",527,36,17,191,191
"528",528,22,10,191,191
"529",529,22,8,191,191
"530",530,29,27,191,191
"531",531,26,9,191,191
"532",532,23,10,191,191
"533",533,28,41,191,191
"534",534,25,16,191,191
"535",535,25,12,191,191
"536",536,26,32,191,191
"537",537,27,16,191,191
"538",538,27,30,191,191
"539",539,21,14,191,191
"540",540,33,23,191,191
"541",541,27,44,191,191
"542",542,24,7,191,191
"543",543,27,10,191,191
"544",544,30,21,191,191
"545",545,31,51,191,191
"546",546,22,32,191,191
"547",547,25,12,191,191
"548",548,30,17,191,191
"549",549,29,48,191,191
"550",550,33,55,191,191
"551",551,27,20,191,191
"552",552,27,14,191,191
"553",553,21,7,191,191
"554",554,24,38,191,191
"555",555,27,25,191,191
"556",556,30,35,191,191
"557",557,28,32,191,191
"558",558,24,9,191,191
"559",559,32,15,191,191
"560",560,31,34,191,191
"561",561,25,12,191,191
"562",562,29,20,191,191
"563",563,26,18,191,191
"564",564,35,16,191,191
"565",565,28,15,191,191
"566",566,27,5,191,191
"567",567,21,19,191,191
"568",568,26,10,191,191
"569",569,24,14,191,191
"570",570,29,61,191,191
"571",571,28,22,191,191
"572",572,28,12,191,191
"573",573,35,43,191,191
"574",574,30,37,191,191
"575",575,24,11,191,191
"576",576,30,5,191,191
"577",577,23,10,191,191
"578",578,24,11,191,191
"579",579,25,14,191,191
"580",580,27,86,191,191
"581",581,35,32,191,191
"582",582,23,8,191,191
"583",583,31,17,191,191
"584",584,35,34,191,191
"585",585,26,18,191,191
"586",586,39,45,191,191
"587",587,28,19,191,191
"588",588,28,9,191,191
"589",589,26,40,191,191
"590",590,23,12,191,191
"591",591,26,9,191,191
"592",592,22,16,191,191
"593",593,25,20,191,191
"594",594,24,10,191,191
"595",595,25,16,191,191
"596",596,31,19,191,191
"597",597,22,15,191,191
"598",598,25,10,191,191
"599",599,27,26,191,191
"600",600,27,10,191,191
"601",601,32,18,191,191
"602",602,31,32,191,191
"603",603,31,36,191,191
"604",604,27,16,191,191
"605",605,24,8,191,191
"606",606,23,23,191,191
"607",607,29,30,191,191
"608",608,30,16,191,191
"609",609,27,34,191,191
"610",610,25,27,191,191
"611",611,24,38,191,191
"612",612,31,33,191,191
"613",613,31,24,191,191
"614",614,32,15,191,191
"615",615,32,63,191,191
"616",616,21,16,191,191
"617",617,22,17,191,191
"618",618,28,30,191,191
"619",619,28,8,191,191
"620",620,28,26,191,191
"621",621,24,8,191,191
"622",622,33,19,191,191
"623",623,30,46,191,191
"624",624,28,25,191,191
"625",625,35,34,191,191
"626",626,25,24,191,191
"627",627,28,14,191,191
"628",628,23,14,191,191
"629",629,24,15,191,191
"630",630,27,21,191,191
"631",631,24,11,191,191
"632",632,25,13,191,191
"633",633,30,17,191,191
"634",634,29,15,191,191
"635",635,25,12,191,191
"636",636,25,8,191,191
"637",637,29,16,191,191
"638",638,29,15,191,191
"639",639,36,44,191,191
"640",640,24,62,191,191
"641",641,22,31,191,191
"642",642,24,26,191,191
"643",643,31,28,191,191
"644",644,24,30,191,191
"645",645,29,30,191,191
"646",646,30,13,191,191
"647",647,29,40,191,191
"648",648,29,11,191,191
"649",649,26,24,191,191
"650",650,28,16,191,191
"651",651,27,7,191,191
"652",652,30,35,191,191
"653",653,31,9,191,191
"654",654,30,24,191,191
"655",655,27,19,191,191
"656",656,23,16,191,191
"657",657,37,11,191,191
"658",658,27,23,191,191
"659",659,29,22,191,191
"660",660,21,8,191,191
"661",661,25,25,191,191
"662",662,28,22,191,191
"663",663,24,21,191,191
"664",664,27,25,191,191
"665",665,25,29,191,191
"666",666,28,18,191,191
"667",667,28,32,191,191
"668",668,29,29,191,191
"669",669,41,33,191,191
"670",670,31,8,191,191
"671",671,25,18,191,191
"672",672,30,21,191,191
"673",673,30,20,191,191
"674",674,34,10,191,191
"675",675,39,20,191,191
"676",676,24,31,191,191
"677",677,32,39,191,191
"678",678,22,10,191,191
"679",679,25,17,191,191
"680",680,36,24,191,191
"681",681,27,27,191,191
"682",682,31,32,191,191
"683",683,27,8,191,191
"684",684,26,20,191,191
"685",685,34,32,191,191
"686",686,32,30,191,191
"687",687,28,11,191,191
"688",688,31,33,191,191
"689",689,27,31,191,191
"690",690,32,14,191,191
"691",691,27,9,191,191
"692",692,30,16,191,191
"693",693,24,15,191,191
"694",694,25,15,191,191
"695",695,55,17,191,191
"696",696,24,6,191,191
"697",697,29,66,191,191
"698",698,30,19,191,191
"699",699,27,7,191,191
"700",700,29,10,191,191
"701",701,26,53,191,191
"702",702,32,42,191,191
"703",703,29,9,191,191
"704",704,32,29,191,191
"705",705,26,13,191,191
"706",706,25,25,191,191
"707",707,25,19,191,191
"708",708,24,41,191,191
"709",709,28,18,191,191
"710",710,25,18,191,191
"711",711,24,10,191,191
"712",712,31,20,191,191
"713",713,29,25,191,191
"714",714,31,38,191,191
"715",715,27,23,191,191
"716",716,30,16,191,191
"717",717,26,22,191,191
"718",718,26,43,191,191
"719",719,27,28,191,191
"720",720,26,33,191,191
"721",721,24,10,191,191
"722",722,27,26,191,191
"723",723,30,18,191,191
"724",724,24,15,191,191
"725",725,24,13,191,191
"726",726,31,47,191,191
"727",727,24,10,191,191
"728",728,36,29,191,191
"729",729,32,40,191,191
"730",730,21,11,191,191
"731",731,26,37,191,191
"732",732,26,10,191,191
"733",733,29,28,191,191
"734",734,25,26,191,191
"735",735,27,14,191,191
"736",736,23,13,191,191
"737",737,29,20,191,191
"738",738,30,24,191,191
"739",739,34,29,191,191
"740",740,30,29,191,191
"741",741,42,24,191,191
"742",742,31,16,191,191
"743",743,26,9,191,191
"744",744,25,18,191,191
"745",745,24,18,191,191
"746",746,34,14,191,191
"747",747,28,12,191,191
"748",748,34,28,191,191
"749",749,24,11,191,191
"750",750,26,14,191,191
"751",751,28,23,191,191
"752",752,26,21,191,191
"753",753,32,26,191,191
"754",754,26,13,191,191
"755",755,31,15,191,191
"756",756,26,11,191,191
"757",757,25,20,191,191
"758",758,26,50,191,191
"759",759,30,40,191,191
"760",760,30,21,191,191
"761",761,28,21,191,191
"762",762,24,85,191,191
"763",763,26,26,191,191
"764",764,34,25,191,191
"765",765,29,20,191,191
"766",766,25,20,191,191
"767",767,29,19,191,191
"768",768,22,7,191,191
"769",769,29,31,191,191
"770",770,25,8,191,191
"771",771,26,11,191,191
"772",772,31,13,191,191
"773",773,22,19,191,191
"774",774,28,12,191,191
"775",775,31,14,191,191
"776",776,22,43,191,191
"777",777,30,15,191,191
"778",778,33,20,191,191
"779",779,23,47,191,191
"780",780,24,23,191,191
"781",781,27,14,191,191
"782",782,27,13,191,191
"783",783,22,10,191,191
"784",784,26,11,191,191
"785",785,31,85,191,191
"786",786,31,38,191,191
"787",787,27,12,191,191
"788",788,37,49,191,191
"789",789,29,13,191,191
"790",790,39,49,191,191
"791",791,26,8,191,191
"792",792,32,36,191,191
"793",793,29,13,191,191
"794",794,28,8,191,191
"795",795,34,38,191,191
"796",796,34,28,191,191
"797",797,26,32,191,191
"798",798,23,10,191,191
"799",799,30,27,191,191
"800",800,26,37,191,191
"801",801,33,17,191,191
"802",802,28,16,191,191
"803",803,25,14,191,191
"804",804,33,17,191,191
"805",805,24,10,191,191
"806",806,27,17,191,191
"807",807,23,17,191,191
"808",808,25,10,191,191
"809",809,30,17,191,191
"810",810,26,45,191,191
"811",811,29,29,191,191
"812",812,31,23,191,191
"813",813,26,6,191,191
"814",814,24,12,191,191
"815",815,27,15,191,191
"816",816,27,16,191,191
"817",817,23,23,191,191
"818",818,27,16,191,191
"819",819,30,53,191,191
"820",820,28,17,191,191
"821",821,27,30,191,191
"822",822,26,9,191,191
"823",823,26,16,191,191
"824",824,31,19,191,191
"825",825,27,22,191,191
"826",826,36,70,191,191
"827",827,31,20,191,191
"828",828,26,8,191,191
"829",829,30,27,191,191
"830",830,24,18,191,191
"831",831,24,10,191,191
"832",832,25,8,191,191
"833",833,34,18,191,191
"834",834,22,9,191,191
"835",835,33,31,191,191
"836",836,34,60,191,191
"837",837,24,26,191,191
"838",838,26,15,191,191
"839",839,26,11,191,191
"840",840,22,20,191,191
"841",841,26,14,191,191
"842",842,33,17,191,191
"843",843,31,13,191,191
"844",844,26,9,191,191
"845",845,27,15,191,191
"846",846,27,18,191,191
"847",847,34,11,191,191
"848",848,22,16,191,191
"849",849,24,18,191,191
"850",850,25,6,191,191
"851",851,26,24,191,191
"852",852,29,24,191,191
"853",853,21,17,191,191
"854",854,25,24,191,191
"855",855,27,9,191,191
"856",856,29,21,191,191
"857",857,30,22,191,191
"858",858,33,14,191,191
"859",859,30,23,191,191
"860",860,30,14,191,191
"861",861,26,11,191,191
"862",862,26,14,191,191
"863",863,32,15,191,191
"864",864,32,27,191,191
"865",865,33,7,191,191
"866",866,29,26,191,191
"867",867,28,11,191,191
"868",868,33,15,191,191
"869",869,26,7,191,191
"870",870,31,37,191,191
"871",871,29,25,191,191
"872",872,24,11,191,191
"873",873,30,58,191,191
"874",874,26,11,191,191
"875",875,29,15,191,191
"876",876,24,19,191,191
"877",877,32,17,191,191
"878",878,30,9,191,191
"879",879,35,36,191,191
"880",880,24,12,191,191
"881",881,25,5,191,191
"882",882,26,34,191,191
"883",883,32,22,191,191
"884",884,25,7,191,191
"885",885,26,14,191,191
"886",886,41,45,191,191
"887",887,31,13,191,191
"888",888,29,23,191,191
"889",889,25,21,191,191
"890",890,41,47,191,191
"891",891,28,6,191,191
"892",892,24,13,191,191
"893",893,29,46,191,191
"894",894,25,16,191,191
"895",895,27,8,191,191
"896",896,28,10,191,191
"897",897,40,31,191,191
"898",898,26,24,191,191
"899",899,27,39,191,191
"900",900,27,30,191,191
"901",901,24,9,191,191
"902",902,29,23,191,191
"903",903,24,17,191,191
"904",904,39,22,191,191
"905",905,29,33,191,191
"906",906,27,20,191,191
"907",907,28,12,191,191
"908",908,26,14,191,191
"909",909,31,13,191,191
"910",910,25,13,191,191
"911",911,23,35,191,191
"912",912,25,45,191,191
"913",913,27,14,191,191
"914",914,33,50,191,191
"915",915,33,17,191,191
"916",916,29,10,191,191
"917",917,27,14,191,191
"918",918,24,27,191,191
"919",919,23,37,191,191
"920",920,29,43,191,191
"921",921,26,19,191,191
"922",922,23,7,191,191
"923",923,24,14,191,191
"924",924,20,9,191,191
"925",925,27,5,191,191
"926",926,24,12,191,191
"927",927,23,14,191,191
"928",928,33,11,191,191
"929",929,33,10,191,191
"930",930,30,17,191,191
"931",931,32,25,191,191
